shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
12.0,1.0,3699,CAE,16.19,134575.0,0.077179,265622.0,2020-06-01,4300420.180000001,2020-06-01,10.0,6.4,AAA,,,,,2.46,2.7,-2.17,0.01,-0.73
11.0,1.0,3296,OC,55.76,244776.0,0.062095,107841.0,2020-06-01,6013214.16,2020-06-01,8.2,6.2,AA,,,,,2.46,2.7,-2.17,0.01,-0.73
11.0,1.0,5944,TIF,122.5,260741.0,-0.022814,121369.0,2020-08-01,14867702.5,2020-08-01,10.0,6.9,AAA,,,,,7.63,-0.22,-2.96,0.01,0.55
44.0,1.0,6722,PPT,4.58,50548.0,-0.026371,103224.0,2020-08-01,472765.92,2020-08-01,10.0,7.2,AAA,,,,,7.63,-0.22,-2.96,0.01,0.55
44.0,1.0,6722,NXR,16.17,2918.0,-0.020332,13046.0,2020-02-01,210953.82000000004,2020-02-01,8.5,6.8,AA,,,,,-8.13,1.07,-3.79,0.12,-0.4
11.0,3.0,2520,MLHR,35.64,82932.0,0.175829,58972.0,2020-11-01,2101762.08,2020-11-01,7.8,6.5,AA,,,,,12.47,5.81,2.13,0.01,-12.43
44.0,3.0,6726,CGO,11.34,8995.0,0.054388,8816.0,2020-06-01,99973.44,2020-06-01,8.1,6.5,AA,,,,,2.46,2.7,-2.17,0.01,-0.73
11.0,3.0,2830,IDXX,242.24001,224780.0,-0.04821,84929.0,2020-03-01,20573201.80929,2020-03-01,8.2,6.7,AA,,,,,-13.39,-4.86,-13.95,0.13,7.97
11.0,1.0,3296,OC,72.87,191273.0,0.113029,108233.0,2020-11-01,7886938.710000001,2020-11-01,7.9,6.3,AA,,,,,12.47,5.81,2.13,0.01,-12.43
11.0,3.0,2520,MLHR,23.43,155415.0,-0.007624,58867.0,2020-07-01,1379253.81,2020-07-01,7.8,6.9,AA,,,,,5.77,-2.32,-1.37,0.01,7.61
11.0,1.0,3519,CMI,231.17,218749.0,0.057438,148007.0,2020-11-01,34214778.19,2020-11-01,8.3,6.0,AA,,,,,12.47,5.81,2.13,0.01,-12.43
31.0,1.0,4931,CIG,2.7,8834.0,0.298077,56421.0,2020-11-01,152336.7,2020-11-01,7.5,6.4,AA,,,,,12.47,5.81,2.13,0.01,-12.43
