shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
73.0,4.0,6726,MINT,101.59,267976.0,0.002162,134850.0,2019-12-01,13699411.5,2019-12-01,9.6,6.1,AAA,,,,,2.77,0.73,1.77,0.14,-1.77
11.0,1.0,4931,EXC,33.42,1171328.0,0.085264,859197.0,2014-08-01,28714363.74,2014-08-01,7.3,6.5,AA,0.0108125,-0.011560892,-0.0012292,0.001202083,4.24,0.4,-0.45,0.0,0.82
31.0,1.0,4619,TGS,6.19,87313.0,-0.136681,18937.0,2020-01-01,117220.03,2020-01-01,6.5,6.0,A,,,,,-0.11,-3.11,-6.23,0.13,5.98
73.0,4.0,6726,AIA,45.9137,2559.0,0.011538,5700.0,2014-03-01,261708.09,2014-03-01,9.7,7.6,AAA,-0.011858867,0.008650042,-0.010196275,0.00047995,0.43,-1.85,4.93,0.0,-3.29
11.0,3.0,5990,PDCO,41.2,123207.0,-0.00699,105533.0,2013-12-01,4347959.600000001,2013-12-01,9.1,6.3,AAA,-0.00415995,-0.006994908,-0.006124225,0.008683142,2.81,-0.45,-0.02,0.0,0.02
11.0,3.0,3559,LRCX,208.57001,491237.0,0.127162,161946.0,2017-10-01,33777078.83946,2017-10-01,6.8,6.2,A,0.0236463,0.028652592,0.013752142,0.0304212,2.25,-1.93,0.21,0.09,4.27
31.0,1.0,4619,TGS,5.94,14286.0,-0.016944,18235.0,2016-01-01,108315.9,2016-01-01,5.9,6.2,A,-0.059022358,-0.014869525,-0.019587783,0.011446708,-5.77,-3.43,2.09,0.01,1.44
11.0,3.0,3674,TXN,92.83,2195871.0,-0.127598,960543.0,2018-10-01,89167206.69,2018-10-01,7.6,6.6,AA,-0.056713083,-0.0289703,0.0173875,0.004624725,-7.68,-4.77,3.44,0.19,-1.99
11.0,1.0,3826,A,73.43,385843.0,0.096461,323018.0,2018-01-01,23719211.74,2018-01-01,8.7,6.5,AAA,0.033935708,0.061400858,0.045588258,0.00420215,5.57,-3.15,-1.33,0.12,4.05
11.0,3.0,3366,MATW,24.19,56707.0,-0.181664,31269.0,2020-03-01,756397.11,2020-03-01,7.3,6.9,AA,,,,,-13.39,-4.86,-13.95,0.13,7.97
12.0,1.0,7379.0,ACN,29.43,1259577.0,0.070571,613214.0,2009-04-01,18046888.02,2009-04-01,5.05,6.87,BBB,0.025391408,0.015628433,,-0.061896417,10.18,5.39,5.36,0.01,-34.3
71.0,1.0,1311.0,SDR,20.76,28951.0,0.098413,37294.0,2012-07-01,774223.4400000001,2012-07-01,9.6,7.03,AAA,0.005083025,0.005567592,-0.014715367,0.005487975,0.79,-2.77,-0.02,0.0,3.04
73.0,4.0,6726,UPRO,51.17,1202135.0,-0.084779,26950.0,2020-10-01,1379031.5,2020-10-01,1.7,3.6,B,,,,,-2.1,4.37,4.22,0.01,-3.05
12.0,1.0,1389,FTI,22.96,865404.0,0.172625,452634.0,2019-01-01,10392476.64,2019-01-01,8.1,6.5,AA,0.002627942,0.017763333,0.007356,-0.0229757,8.4,2.89,-0.46,0.21,-8.68
31.0,1.0,8742,AMFW,7.43,13507.0,0.053901,298355.0,2016-09-01,2216777.65,2016-09-01,8.5,7.9,AA,-0.00467505,0.017101967,-0.012727533,-0.000452958,0.25,2.13,-1.23,0.02,0.19
11.0,1.0,3841.0,MMM,87.6,686568.0,-0.052153,691931.0,2012-10-01,60613155.6,2012-10-01,9.8,7.29,AAA,-0.000907967,-0.003859533,-0.014234192,-0.035789725,-1.76,-1.16,3.59,0.01,0.14
12.0,1.0,7379.0,ACN,38.54,646903.0,0.077138,593594.0,2007-03-01,22877112.76,2007-03-01,5.72,5.73,A,-0.010714025,0.002400417,,-0.00693435,0.68,0.16,-0.96,0.43,2.56
12.0,1.0,7379.0,ACN,43.64,889409.0,0.049225,637016.0,2010-04-01,27799378.24,2010-04-01,8.95,7.43,AAA,0.006442283,0.027588833,-0.025660992,-0.016123358,2.0,4.87,2.89,0.01,3.16
12.0,1.0,3861,IMAX,21.76,91118.0,-0.107465,61482.0,2019-05-01,1337848.32,2019-05-01,8.2,5.8,AA,,,,,-6.94,-1.31,-2.35,0.21,7.56
14.0,2.0,6726,ABE,10.39,1639.0,-0.042846,9765.0,2016-01-01,101458.35,2016-01-01,6.1,6.3,A,-0.059022358,-0.014869525,-0.019587783,0.011446708,-5.77,-3.43,2.09,0.01,1.44
11.0,1.0,3825.0,A,23.22,745814.0,0.143279,343354.0,2009-07-01,7972679.88,2009-07-01,9.97,7.49,AAA,-0.00119005,0.008318425,-0.002213642,-0.02326185,7.72,1.87,4.84,0.01,-5.55
12.0,1.0,3523.0,CNHI,8.53,242493.0,0.096401,1361623.0,2016-11-01,11614644.19,2016-11-01,10.0,7.4,AAA,0.067965958,0.010299783,-0.010135067,-0.020091608,4.86,5.67,8.19,0.01,-4.62
11.0,1.0,3089.0,MYE,12.05,8136.0,-0.072363,29896.0,2016-10-01,360246.80000000005,2016-10-01,4.4,6.2,BBB,-0.036525708,0.012396383,0.019624975,0.017342583,-2.02,-4.42,4.12,0.02,0.6
12.0,1.0,3674,STM,21.37,850115.0,-0.217883,910560.0,2020-03-01,19458667.2,2020-03-01,4.2,4.6,BB,,,,,-13.39,-4.86,-13.95,0.13,7.97
12.0,1.0,1389,CLB,63.39,120676.0,-0.072392,44353.0,2019-04-01,2811536.67,2019-04-01,8.1,6.7,AA,,,,,3.97,-1.74,2.14,0.21,-2.97
11.0,1.0,2752.0,CVO,6.69,11236.0,-0.189091,8552.0,2016-11-01,57212.880000000005,2016-11-01,6.9,6.7,A,0.067965958,0.010299783,-0.010135067,-0.020091608,4.86,5.67,8.19,0.01,-4.62
31.0,1.0,4911,CIG,8.9661,2442.0,0.035346,54192.0,2013-10-01,485890.8912000001,2013-10-01,7.6,6.6,AA,-0.012340267,0.010870025,0.002318742,0.011617708,4.18,-1.56,1.25,0.0,0.08
11.0,1.0,3084,WMS,31.35,71782.0,0.124508,56929.0,2018-08-01,1784724.15,2018-08-01,7.1,6.5,A,0.074072517,0.022886775,0.046277983,0.022157183,3.44,1.13,-3.98,0.16,5.29
11.0,3.0,3366,MATW,57.73,24348.0,0.178885,32882.0,2015-10-01,1898277.86,2015-10-01,6.5,6.1,A,-0.036427325,0.039352867,-0.004362908,0.005633967,7.75,-1.87,-0.46,0.0,-3.28
31.0,1.0,4619,TGS,16.67,77833.0,-0.125393,18235.0,2018-05-01,303977.45,2018-05-01,7.1,6.1,A,0.021006225,0.021007533,-0.0066537,0.011174375,2.65,5.26,-3.18,0.14,3.89
12.0,1.0,1311.0,SU,32.69,527207.0,0.026051,1665129.0,2016-12-01,54433067.01,2016-12-01,7.75,6.6,BBB,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26
11.0,1.0,5031,GMS,22.85,57295.0,-0.144835,42169.0,2020-02-01,963561.65,2020-02-01,5.0,5.449999999999999,BBB,,,,,-8.13,1.07,-3.79,0.12,-0.4
11.0,1.0,7812,TWX,75.34,994382.0,0.095854,815581.0,2015-10-01,61445872.54,2015-10-01,5.9,5.5,A,-0.036427325,0.039352867,-0.004362908,0.005633967,7.75,-1.87,-0.46,0.0,-3.28
73.0,4.0,6726,IRV,23.3144,43.0,-0.017689,400.0,2014-03-01,9325.76,2014-03-01,9.2,6.5,AAA,-0.011858867,0.008650042,-0.010196275,0.00047995,0.43,-1.85,4.93,0.0,-3.29
11.0,1.0,4911,NEE,158.42,473296.0,0.014277,470398.0,2018-01-01,74520451.16,2018-01-01,9.1,7.1,AAA,0.033935708,0.061400858,0.045588258,0.00420215,5.57,-3.15,-1.33,0.12,4.05
11.0,1.0,2621,BCC,27.47,77150.0,0.151782,38909.0,2019-01-01,1068830.23,2019-01-01,10.0,6.3,AAA,0.002627942,0.017763333,0.007356,-0.0229757,8.4,2.89,-0.46,0.21,-8.68
11.0,1.0,3674.0,TXN,30.95,3803819.0,-0.070359,1326319.0,2008-01-01,41049573.05,2008-01-01,5.35,6.49,BBB,0.001488975,-0.019039475,,-0.040704508,-6.36,-1.04,3.98,0.21,-7.75
11.0,3.0,3674,TXN,42.085,1755274.0,0.051998,1094563.0,2013-10-01,46064683.855,2013-10-01,6.4,6.5,A,-0.012340267,0.010870025,0.002318742,0.011617708,4.18,-1.56,1.25,0.0,0.08
31.0,1.0,8299.0,DL,4.966,1159.0,0.054352,10044.0,2013-03-01,49878.504,2013-03-01,8.6,6.5,AAA,0.002466275,0.000432658,0.001337217,-0.010603467,4.03,0.81,-0.19,0.0,1.92
11.0,3.0,5812,TAST,7.92,149525.0,0.110799,51848.0,2019-11-01,410636.16,2019-11-01,2.2,4.1,B,,,,,3.87,0.79,-2.0,0.12,-2.66
11.0,3.0,9999,KIN,3.54,4190.0,-0.132353,19891.0,2016-06-01,70414.14,2016-06-01,7.8,6.4,AA,-0.03690975,0.003965408,-0.049939358,0.006606217,-0.05,0.6,-1.48,0.02,4.13
11.0,1.0,4923.0,SE,20.34,815373.0,-0.00962,648019.0,2010-08-01,13180706.46,2010-08-01,6.37,5.22,A,-0.031860475,-0.019452242,-0.037002542,0.009058508,-4.77,-2.98,-1.93,0.01,-0.06
11.0,1.0,4931,EXC,33.56,1363884.0,0.103584,857420.0,2014-03-01,28775015.200000003,2014-03-01,7.3,6.5,AA,-0.011858867,0.008650042,-0.010196275,0.00047995,0.43,-1.85,4.93,0.0,-3.29
